est_positive,midpoint_date
0.27,2020-05-03
0.25,2020-05-10
0.24,2020-05-17
0.1,2020-05-23
0.06,2020-05-31
0.06,2020-06-06
0.09,2020-06-14
0.04,2020-06-20
0.03,2020-06-28
0.04,2020-07-09
0.05,2020-07-16
0.07,2020-07-23
0.05,2020-07-30
0.05,2020-08-06
0.05,2020-08-10
0.05,2020-08-17
0.05,2020-08-22
0.07,2020-09-02
0.11,2020-09-07
0.19,2020-09-16
0.21,2020-09-21
0.41,2020-09-28
0.62,2020-10-05
0.79,2020-10-13
1.04,2020-10-20
1.13,2020-10-28
1.2,2020-11-03
1.22,2020-11-11
1.16,2020-11-18
0.96,2020-11-25
0.88,2020-12-02
1.04,2020-12-09
1.18,2020-12-15
1.47,2020-12-20
2.06,2020-12-30
2.08,2021-01-06
1.88,2021-01-13
1.87,2021-01-20
1.55,2021-01-27
1.28,2021-02-03
0.88,2021-02-09
0.69,2021-02-16
0.45,2021-02-24
0.37,2021-03-03
0.29,2021-03-10
0.3,2021-03-17
0.27,2021-03-24
0.3,2021-03-31
0.21,2021-04-07
0.17,2021-04-13
0.1,2021-04-21
0.08,2021-04-29
0.07,2021-05-05
0.09,2021-05-12
0.09,2021-05-19
0.16,2021-05-26
0.18,2021-06-02
0.19,2021-06-09
0.22,2021-06-16
0.39,2021-06-23
0.61,2021-06-30
1.06,2021-07-07
1.36,2021-07-14
1.57,2021-07-21
1.32,2021-07-28
1.33,2021-08-03
1.28,2021-08-11
1.39,2021-08-17
1.41,2021-08-24
1.38,2021-08-31
1.28,2021-09-08
1.14,2021-09-15
1.21,2021-09-22
1.44,2021-09-29
1.63,2021-10-06
1.79,2021-10-13
2.02,2021-10-19
2.02,2021-10-27
1.7,2021-11-03
1.51,2021-11-10
1.58,2021-11-17
1.65,2021-11-24
1.64,2021-11-28
1.72,2021-12-08
2.21,2021-12-13
2.83,2021-12-16
3.71,2021-12-20
6,2021-12-28
6.85,2022-01-03
5.47,2022-01-12
4.82,2022-01-19
4.83,2022-01-26
5.18,2022-02-02
4.49,2022-02-09
3.84,2022-02-16
3.55,2022-02-23
3.8,2022-03-02
4.87,2022-03-09
6.39,2022-03-16
7.56,2022-03-23
7.6,2022-03-30
6.92,2022-04-06
5.9,2022-04-13
4.42,2022-04-20
2.91,2022-04-27
2.21,2022-05-04
1.9,2022-05-10
1.6,2022-05-18
1.44,2022-05-24
1.46,2022-05-30
2.07,2022-06-08
2.5,2022-06-15
3.35,2022-06-21
3.95,2022-06-26
5.27,2022-07-03
5.77,2022-07-10
4.83,2022-07-17
3.86,2022-07-23
2.63,2022-08-03
2.22,2022-08-13
1.64,2022-08-20
1.41,2022-08-25
1.29,2022-09-02
1.41,2022-09-11
1.57,2022-09-14
2.03,2022-09-21
2.78,2022-09-30
3.13,2022-10-07
3.21,2022-10-14
2.92,2022-10-21
2.43,2022-10-29
1.73,2022-11-05
1.48,2022-11-12
1.6,2022-11-18
1.73,2022-11-23
2.01,2022-12-02
2.2,2022-12-06
4.52,2022-12-25
4.02,2022-12-31
2.61,2023-01-07
1.62,2023-01-14
1.42,2023-01-21
1.56,2023-01-28
1.88,2023-02-04
2.18,2023-02-11
2.31,2023-02-18
2.38,2023-02-25
